duration_s,total_keys,keys_per_min,pause_P50,pause_P75,pause_P90,pause_P95,pause_P99,pause_mean,pause_std,long_pauses_30s,long_pauses_60s,bs_total,bs_ratio,bs_burst_count,bs_burst_max,bs_then_long_pause,enter_total,enter_ratio,ctrl_total,shift_total,row_changes,row_changes_ratio,burst_count,keys_per_burst,burst_len_mean,burst_len_std,char_count,char_ratio,solution_id,judge,problem_pass_rate,attempt_number,user_ac_rate,user_total_submissions,ac
1097.319,480,26.245786321024244,0.318,0.8097500000000001,2.3255000000000003,6.986549999999999,29.56333000000001,2.411788209606988,16.76576895758103,5,3,0,0.0,0,0,0,20,0.0416666666666666,4,186,28,0.0584551148225469,6,80.0,80.0,57.28874234961002,259,0.5395833333333333,994438,WA,0.147,2,0.464,323,0
163.876,224,82.01322951499915,0.312,0.764,1.2464000000000006,2.217199999999999,11.312519999999973,0.8062775119617224,1.90219668269026,0,0,0,0.0,0,0,0,15,0.0669642857142857,0,50,17,0.0762331838565022,1,224.0,224.0,0.0,148,0.6607142857142857,994708,CE,0.561,1,1.0,2,0
163.876,224,82.01322951499915,0.312,0.764,1.2464000000000006,2.217199999999999,11.312519999999973,0.8062775119617224,1.90219668269026,0,0,0,0.0,0,0,0,15,0.0669642857142857,0,50,17,0.0762331838565022,1,224.0,224.0,0.0,148,0.6607142857142857,994710,CE,0,1,0.667,3,0
1670.735,668,23.989441772633004,0.6014999999999999,1.70525,4.706000000000007,9.384649999999995,45.45881999999997,2.853865646258503,9.451857954379774,13,5,0,0.0,0,0,0,26,0.0389221556886227,61,95,91,0.136431784107946,14,47.71428571428572,47.71428571428572,55.73461167690603,405,0.6062874251497006,994741,TLE,0.502,2,0.345,275,0
1068.288,123,6.908249460819554,0.479,1.1185,1.7802000000000002,4.419599999999998,44.24547999999999,9.321356521739132,84.93919518165728,2,1,0,0.0,0,0,0,4,0.032520325203252,2,4,10,0.081967213114754,3,41.0,41.0,48.8739876280488,97,0.7886178861788617,994778,WA,0.380,9,0.498,241,0
1629.81,430,15.830066081322364,0.3105,0.9045,2.5205,5.95175,51.68764999999967,4.033145320197044,33.29663345267563,5,4,0,0.0,0,0,0,24,0.055813953488372,4,115,32,0.0745920745920745,6,71.66666666666667,71.66666666666667,69.31249686905113,269,0.6255813953488372,994818,AC,0.633,1,0.625,8,1
161.056,103,38.37174647327637,0.4024999999999999,1.20025,2.4335,4.6645,33.45924999999999,1.6971458333333336,5.143856503512967,2,0,0,0.0,0,0,0,9,0.087378640776699,3,14,17,0.1666666666666666,3,34.333333333333336,34.333333333333336,34.41253001774532,54,0.5242718446601942,994948,AC,0.627,3,0.398,231,1
382.244,31,4.866001820826488,0.1365,0.77875,3.4056,78.74954999999983,211.76191000000009,13.651464285714288,49.83631248789964,2,2,0,0.0,0,0,0,1,0.032258064516129,1,14,0,0.0,3,10.333333333333334,10.333333333333334,11.785113019775793,11,0.3548387096774194,994980,AC,0.890,1,0.7,10,1
560.466,31,3.3186669664172315,0.3905,0.778,2.543200000000001,5.874149999999994,396.3843300000002,20.03392857142857,100.12536333657228,1,1,0,0.0,0,0,0,1,0.032258064516129,2,9,1,0.0333333333333333,2,15.5,15.5,14.5,18,0.5806451612903226,995005,AC,0.839,1,0.727,11,1
1444.467,588,24.42423399080768,0.4265,1.06125,2.8733000000000004,5.718849999999998,30.605229999999757,2.595998214285714,20.03658835137601,6,4,0,0.0,0,0,0,33,0.0561224489795918,1,78,59,0.100511073253833,7,84.0,84.0,145.39208074326862,444,0.7551020408163265,995016,AC,0.653,1,0.488,244,1
854.525,435,30.54328428074076,0.3995,0.85825,1.8062,2.6216999999999997,15.031439999999971,2.103421951219512,18.02387787217905,2,2,0,0.0,0,0,0,15,0.0344827586206896,0,151,20,0.0460829493087557,3,145.0,145.0,138.14002557791375,252,0.5793103448275863,995130,AC,0.770,3,0.366,320,1
816.508,547,40.19556452600587,0.436,1.037,2.406,3.429,20.65339999999961,1.5827120921305182,6.537599999097766,5,2,0,0.0,0,0,0,32,0.0585009140767824,0,74,41,0.075091575091575,6,91.16666666666669,91.16666666666669,71.88513213608375,408,0.7458866544789763,995317,WA,0.626,1,0.378,148,0
1028.126,34,1.9841925989616056,0.6645,1.47425,92.1781,190.09944999999985,316.12894,32.15221875,77.9929434178721,7,6,0,0.0,0,0,0,1,0.0294117647058823,11,13,14,0.4242424242424242,8,4.25,4.25,2.165063509461097,7,0.2058823529411764,995425,AC,0.728,6,0.491,214,1
250.231,483,115.81298879835032,0.1134999999999999,0.584,1.3763000000000003,2.75415,5.784629999999993,0.5587922077922077,1.1324448134561336,0,0,0,0.0,0,0,0,7,0.0144927536231884,0,299,9,0.0186721991701244,1,483.0,483.0,0.0,170,0.3519668737060041,995461,AC,0.626,1,0.453,95,1
1119.086,291,15.602018075465155,0.5694999999999999,1.686,4.4166000000000025,9.333299999999989,60.05316000000024,4.038978417266187,19.9921768776911,7,3,0,0.0,0,0,0,13,0.0446735395189003,4,86,28,0.096551724137931,8,36.375,36.375,48.445684792352765,180,0.6185567010309279,995639,AC,0.626,1,0.503,157,1
177.852,153,51.615950340732745,0.474,1.198,2.853,4.551000000000002,9.455060000000053,1.2630769230769228,2.7656251688365905,0,0,0,0.0,0,0,0,7,0.0457516339869281,0,22,9,0.0592105263157894,1,153.0,153.0,0.0,114,0.7450980392156863,995916,WA,0.443,2,0.595,84,0
1584.228,824,31.207629204887173,0.398,1.29575,3.484,7.03275,27.21579999999984,2.0312404580152674,9.424464284931853,8,3,0,0.0,0,0,0,34,0.0412621359223301,2,229,46,0.0558930741190765,9,91.55555555555556,91.55555555555556,135.08195957443442,528,0.6407766990291263,995954,AC,0.633,1,0.343,289,1
292.844,103,21.10338610318122,0.4645,1.00475,2.7309999999999994,15.06864999999994,59.90263,2.999448979591837,9.924091177351029,3,1,0,0.0,0,0,0,4,0.0388349514563106,0,18,4,0.0392156862745098,4,25.75,25.75,18.005207580030838,75,0.7281553398058253,995993,AC,0.521,1,0.567,90,1
1124.595,233,12.431141877742654,0.5095000000000001,1.569,4.5212,11.737999999999971,92.01225999999988,5.1719816513761465,34.10870915068861,5,4,0,0.0,0,0,0,16,0.0686695278969957,3,25,23,0.0991379310344827,6,38.833333333333336,38.833333333333336,22.541936227593425,180,0.7725321888412017,996032,AC,0.535,1,0.385,252,1
