solution_id,problem_id,judge,has_code,duration_s,total_keys
992361,1510,WA,True,550.7,61
992370,1510,WA,True,251.0,159
992373,1512,WA,True,1724.0,503
992389,1510,WA,True,550.7,61
992455,1512,AC,True,576.9,319
992460,2118,AC,True,173.9,181
992464,1516,WA,True,320.5,284
992480,1512,AC,True,1034.4,292
992485,1517,WA,True,1198.8,727
992486,0,CE,True,1022.7,366
992497,1516,WA,True,492.1,295
992498,1516,AC,True,319.5,213
992505,2117,AC,True,168.3,232
992513,1516,WA,True,560.0,300
992514,0,?,True,1290.6,729
992523,1517,AC,True,1327.4,732
992524,1516,AC,True,602.5,312
992527,1512,AC,True,580.5,248
992531,2118,AC,True,1360.2,625
992535,1749,AC,True,137.6,34
992560,1516,WA,True,1506.5,484
992570,1516,WA,True,1535.0,486
992575,1512,AC,True,464.4,467
992581,1516,AC,True,477.2,320
992582,2117,AC,True,220.7,249
992583,1009,WA,True,190.7,141
992596,1516,AC,True,1573.8,488
992598,1510,WA,True,115.2,32
992600,2118,AC,True,432.0,337
992614,1323,WA,True,387.7,81
992618,1323,WA,True,418.3,83
992622,1900,AC,True,558.1,381
992625,1510,WA,True,1480.0,1003
992644,2117,AC,True,194.4,169
992651,2090,AC,True,1699.9,833
992661,1516,WA,True,480.0,336
992665,1323,WA,True,156.4,43
992668,1516,AC,True,1181.6,316
992671,2117,NoData,True,174.6,50
992675,2117,WA,True,198.1,73
992679,1323,AC,True,236.3,48
992682,2118,AC,True,640.9,407
992683,2083,AC,True,291.5,132
992686,2117,AC,True,270.8,87
992688,1516,AC,True,654.5,361
992693,1516,WA,True,477.4,319
992699,1516,AC,True,514.1,320
992703,1516,WA,True,605.4,313
992707,1516,WA,True,624.7,315
992738,2117,AC,True,291.3,247
992741,1516,WA,True,901.7,435
992743,1900,AC,True,499.8,389
992758,1516,WA,True,886.5,348
992762,1495,WA,True,1329.1,30
992765,1516,AC,True,1025.9,452
992767,1346,AC,True,168.4,38
992770,1511,CE,True,1428.0,606
992780,1039,WA,True,451.0,342
992781,1900,AC,True,65.0,59
992798,1900,AC,True,353.0,397
992799,1511,AC,True,1521.1,609
992803,1516,WA,True,308.4,55
992806,2117,AC,True,197.3,240
992819,1512,AC,True,1205.7,937
992823,1512,AC,True,1205.7,937
992833,2118,AC,True,511.1,224
992844,2118,AC,True,455.3,576
992894,2117,NoData,True,304.5,225
992909,2117,NoData,True,401.5,231
992917,2117,NoData,True,452.8,235
992919,1512,WA,True,1063.1,300
992924,1039,CE,True,1333.8,568
992928,1517,AC,True,1314.3,210
992931,1517,AC,True,1314.3,210
992937,2118,PE,True,1260.6,533
992943,2139,CE,True,739.4,502
992949,1039,WA,True,1451.2,593
992953,1517,WA,True,1379.5,443
992967,1517,WA,True,1599.6,498
992970,1517,WA,True,1379.5,443
992989,1517,AC,True,1314.3,210
992990,2118,AC,True,1435.9,538
992991,1517,WA,True,1379.5,443
992996,2117,AC,True,756.3,485
993011,2118,AC,True,401.3,424
993022,2117,AC,True,868.3,509
993035,2117,AC,True,868.3,509
993038,2118,WA,True,967.0,409
993042,2118,WA,True,967.0,409
993047,1512,CE,True,683.3,54
993054,2117,AC,True,932.5,513
993056,1512,AC,True,707.5,56
993064,1039,AC,True,154.8,88
993069,2138,AC,True,359.5,57
993071,2138,AC,True,359.5,57
993083,2138,AC,True,478.7,59
993092,2118,AC,True,1435.9,538
993095,1039,AC,True,311.0,113
993096,2117,AC,True,407.9,265
993115,1039,AC,True,389.5,115
993133,2117,AC,True,1328.3,217
993134,1900,AC,True,602.9,460
993140,1900,AC,True,487.0,403
993145,2118,AC,True,401.3,424
993167,1512,AC,True,108.3,58
993169,2132,WA,True,161.2,33
993184,1517,WA,True,67.0,40
993186,2118,AC,True,578.8,84
993198,1517,WA,True,67.0,40
993204,2118,AC,True,774.7,352
993206,2118,AC,True,982.5,438
993226,1517,AC,True,279.4,45
993231,2080,AC,True,1016.0,525
993242,1512,WA,True,1219.7,307
993249,1517,AC,True,1314.3,210
993252,2138,WA,True,1255.4,30
993269,2117,AC,True,324.6,287
993273,1517,AC,True,1718.8,918
993279,2118,AC,True,455.3,576
993283,2117,AC,True,210.1,91
993286,1900,WA,True,907.7,271
993291,2117,WA,True,170.4,228
993293,1900,AC,True,613.7,511
993294,2117,AC,True,407.9,265
993295,2118,AC,True,1435.9,538
993309,1516,AC,True,1069.7,830
993312,1516,WA,True,452.6,424
993313,2117,WA,True,66.7,35
993320,2117,AC,True,158.3,438
993322,1073,WA,True,416.4,69
993324,2117,AC,True,131.4,40
993360,1900,AC,True,403.0,67
993363,1512,AC,True,332.4,51
993383,1900,AC,True,523.4,75
993401,1516,WA,True,1002.5,409
993425,1516,AC,True,1175.2,411
993434,1514,WA,True,862.9,519
993446,1900,WA,True,1465.5,558
993452,1510,AC,True,233.6,30
993472,1900,PE,True,1105.5,648
993480,1900,AC,True,1145.8,649
993481,1073,WA,True,257.9,143
993489,1514,AC,True,322.0,149
993490,1039,AC,True,1782.6,121
993496,1517,CE,True,384.3,424
993509,1514,WA,True,1368.6,663
993513,1823,AC,True,288.4,322
993536,1798,AC,True,508.3,236
993540,1824,AC,True,124.6,156
993549,1517,AC,True,1768.8,604
993557,1453,AC,True,782.1,508
993559,1453,AC,True,812.5,518
993579,2096,AC,True,904.4,502
993609,2107,AC,True,275.5,286
993615,1799,AC,True,689.8,230
993620,1432,WA,True,519.7,397
993623,1432,WA,True,579.6,416
993625,1432,AC,True,635.0,471
993645,2127,AC,True,208.8,264
993688,0,CE,True,1596.8,544
993723,1046,AC,True,1505.9,171
993732,1029,NoData,True,1490.0,565
993734,1029,WA,True,1560.5,574
993770,2132,WA,True,1622.1,176
993771,1218,WA,True,354.9,297
993775,1218,WA,True,354.9,297
993787,1218,WA,True,694.0,345
993799,1663,AC,True,1005.3,278
993803,1714,NoData,True,257.6,296
993805,1714,NoData,True,302.9,299
993807,1714,NoData,True,302.9,299
993809,1714,NoData,True,395.5,301
993810,1714,AC,True,440.6,306
993823,1073,TLE,True,1062.0,657
993827,2096,WA,True,357.1,324
993834,1073,AC,True,111.0,41
993835,2096,WA,True,464.7,330
993836,2096,AC,True,489.6,336
993864,2129,WA,True,398.4,376
993872,2129,AC,True,522.7,395
993962,2129,AC,True,523.1,434
993966,0,?,True,383.4,257
993970,1323,TLE,True,336.1,250
