n,positive_rate,predicted_rate,precision,recall,f1,false_prompts,false_prompt_rate,tp,tn,fp,fn,label,parameter,idle_s,keys_limit,split,f1_ci_low,f1_ci_high,context_s
237,0.08438818565400844,0.1308016877637131,0.1935483870967742,0.3,0.23529411764705882,25,0.1152073732718894,6,192,25,14,human_reviewed,idle_s,35,8,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,idle_s,35,8,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.08438818565400844,0.05,0.05,0.05000000000000001,19,0.08755760368663594,1,198,19,19,human_reviewed,idle_s,45,8,dev,,,
83,0.03614457831325301,0.18072289156626506,0.13333333333333333,0.6666666666666666,0.2222222222222222,13,0.1625,2,67,13,1,human_reviewed,idle_s,45,8,test,0.0,0.4,
237,0.08438818565400844,0.05907172995780591,0.0,0.0,0.0,14,0.06451612903225806,0,203,14,20,human_reviewed,idle_s,60,8,dev,,,
83,0.03614457831325301,0.0963855421686747,0.0,0.0,0.0,8,0.1,0,72,8,3,human_reviewed,idle_s,60,8,test,0.0,0.0,
237,0.08438818565400844,0.046413502109704644,0.0,0.0,0.0,11,0.05069124423963134,0,206,11,20,human_reviewed,idle_s,90,8,dev,,,
83,0.03614457831325301,0.07228915662650602,0.0,0.0,0.0,6,0.075,0,74,6,3,human_reviewed,idle_s,90,8,test,0.0,0.0,
237,0.08438818565400844,0.029535864978902954,0.0,0.0,0.0,7,0.03225806451612903,0,210,7,20,human_reviewed,idle_s,120,8,dev,,,
83,0.03614457831325301,0.060240963855421686,0.0,0.0,0.0,5,0.0625,0,75,5,3,human_reviewed,idle_s,120,8,test,0.0,0.0,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,keys_30s_limit,30,1,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,keys_30s_limit,30,1,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,keys_30s_limit,30,2,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,keys_30s_limit,30,2,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,keys_30s_limit,30,3,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,keys_30s_limit,30,3,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,keys_30s_limit,30,4,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,keys_30s_limit,30,4,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,keys_30s_limit,30,5,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,keys_30s_limit,30,5,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,keys_30s_limit,30,6,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,keys_30s_limit,30,6,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,keys_30s_limit,30,8,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,keys_30s_limit,30,8,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,keys_30s_limit,30,10,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,keys_30s_limit,30,10,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,keys_30s_limit,30,12,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,keys_30s_limit,30,12,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,keys_30s_limit,30,16,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,keys_30s_limit,30,16,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,keys_30s_limit,30,20,dev,,,
